date,numTrips
6/27/2013,95
6/28/2013,897
6/29/2013,1201
6/30/2013,1812
7/1/2013,1559
7/2/2013,1108
7/3/2013,1007
7/4/2013,2956
7/5/2013,2463
7/6/2013,3001
7/7/2013,2377
7/8/2013,1105
7/9/2013,1502
7/10/2013,1901
7/11/2013,2308
7/12/2013,2552
7/13/2013,3345
7/14/2013,3309
7/15/2013,2028
7/16/2013,2057
7/17/2013,1825
7/18/2013,1728
7/19/2013,2004
7/20/2013,3655
7/21/2013,3545
7/22/2013,2734
7/23/2013,2671
7/24/2013,2663
7/25/2013,2810
7/26/2013,2157
7/27/2013,3334
7/28/2013,3349
7/29/2013,3108
7/30/2013,2412
7/31/2013,2294
8/1/2013,3568
8/2/2013,3394
8/3/2013,5959
8/4/2013,5487
8/5/2013,3381
8/6/2013,3913
8/7/2013,3264
8/8/2013,4396
8/9/2013,4975
8/10/2013,7148
8/11/2013,5730
8/12/2013,3983
8/13/2013,4724
8/14/2013,4726
8/15/2013,4811
8/16/2013,6132
8/17/2013,8299
8/18/2013,7798
8/19/2013,5709
8/20/2013,5921
8/21/2013,5722
8/22/2013,3856
8/23/2013,7072
8/24/2013,9811
8/25/2013,8272
8/26/2013,5887
8/27/2013,5109
8/28/2013,5335
8/29/2013,5828
8/30/2013,5191
8/31/2013,5107
9/1/2013,9804
9/2/2013,9101
9/3/2013,5951
9/4/2013,6022
9/5/2013,5956
9/6/2013,7186
9/7/2013,8650
9/8/2013,6403
9/9/2013,5618
9/10/2013,5612
9/11/2013,5530
9/12/2013,6090
9/13/2013,5992
9/14/2013,8953
9/15/2013,1606
9/16/2013,5358
9/17/2013,6121
9/18/2013,4292
9/19/2013,4770
9/20/2013,6560
9/21/2013,8839
9/22/2013,7808
9/23/2013,5934
9/24/2013,6400
9/25/2013,6356
9/26/2013,6742
9/27/2013,7875
9/28/2013,10573
9/29/2013,7819
9/30/2013,7109
10/1/2013,6875
10/2/2013,7180
10/3/2013,4845
10/4/2013,7400
10/5/2013,5986
10/6/2013,5821
10/7/2013,6042
10/8/2013,7022
10/9/2013,7141
10/10/2013,7860
10/11/2013,9269
10/12/2013,8500
10/13/2013,8966
10/14/2013,7469
10/15/2013,5271
10/16/2013,5539
10/17/2013,3562
10/18/2013,5080
10/19/2013,5132
10/20/2013,4845
10/21/2013,4821
10/22/2013,3814
10/23/2013,4169
10/24/2013,4301
10/25/2013,4708
10/26/2013,4146
10/27/2013,3855
10/28/2013,4551
10/29/2013,4984
10/30/2013,3860
10/31/2013,1681
11/1/2013,4102
11/2/2013,3218
11/3/2013,4054
11/4/2013,4871
11/5/2013,4640
11/6/2013,2612
11/7/2013,4080
11/8/2013,4459
11/9/2013,4972
11/10/2013,3850
11/11/2013,2273
11/12/2013,2960
11/13/2013,3133
11/14/2013,3598
11/15/2013,4098
11/16/2013,2101
11/17/2013,1420
11/18/2013,3269
11/19/2013,3567
11/20/2013,3336
11/21/2013,3173
11/22/2013,3094
11/23/2013,1350
11/24/2013,950
11/25/2013,2159
11/26/2013,2715
11/27/2013,1936
11/28/2013,597
11/29/2013,1282
11/30/2013,2141
12/1/2013,1396
12/2/2013,3248
12/3/2013,3536
12/4/2013,3889
12/5/2013,2853
12/6/2013,2338
12/7/2013,1067
12/8/2013,488
12/9/2013,1317
12/10/2013,1270
12/11/2013,1207
12/12/2013,1241
12/13/2013,1858
12/14/2013,346
12/15/2013,432
12/16/2013,1255
12/17/2013,1647
12/18/2013,1985
12/19/2013,2381
12/20/2013,1632
12/21/2013,704
12/22/2013,635
12/23/2013,1086
12/24/2013,389
12/25/2013,125
12/26/2013,785
12/27/2013,1594
12/28/2013,1899
12/29/2013,625
12/30/2013,933
12/31/2013,512
